id,commentText,Labels
Ugw7teLliYgsTrwguwJ4AaABAg,Oooooh,6
UgwAv8Tz2m2v8uTR56Z4AaABAg,Kya tamatar nahi Dalna hai,7
UgzUvEtCAfk_pKNdRKB4AaABAg,Very  taste,2
Ugwu9pLyRE7LXUT_1nV4AaABAg,chicken ko freeze mein nehi rakhne se koi prblm ho gaya kya Di?,7
UgxLJQhlsZXFiGeX38d4AaABAg,I tried ur recipe of dum biryani. It's too good n tasty. But chicken got burnt little. What should I do to avoid it again.. Please give your suggestion,5
UgzUcv6MhfIzLC0h63J4AaABAg,"Shahi chicken masala is a combination of what? Because yahan pe shahi masala nahi milta, pls reply mam",7
UgyUPwZO-D0cXdf4Eet4AaABAg,Big process,6
UgwifHa_gQgDVkT9Trd4AaABAg,I tried it today it came out delicious.. I have added kade masala and other  ingredients 1.5 times more for 2kg chicken and 1 kg 100 gm  basmathi rice and i followed each and every step  it came out really well.. My family loved the recipe.. Thank u for sharing this recipe😊,5
UgxaTEE9qkGhdkPaDsV4AaABAg,Kitne log khayenge,6
Ugw-nNIDxDt6M2FCDHx4AaABAg,Ab ye javitri kya hota hai ?,7
UgweFJTOOi3bOzoMwZt4AaABAg,Mene ye try kiya & it's delicious. Thnkuu for d lovely recipe mam,5
UgyTOPjeuqkuLdW_IHF4AaABAg,"Very nice kabita sis👌
I'm in Madurai Tamil nadu",3
UgzE_bEjlk5XvqLd6YB4AaABAg,nice presentation,4
UgzudcwTypPMJlKDJ9R4AaABAg,Wow nice,3
UgwvxomMA6r1JKqxxtJ4AaABAg,1kg chiken main kitna dahi cahiye,7
UgzgusIIL_ZRiz8a84h4AaABAg,Agar rice and chicken ka quantity Kam ho to timing same rahega??,7
UgzZ0FZgLEuE9Lhclcp4AaABAg,"mene app ki biryani try ki bahot achi bani. sab ko achi lagi. 
lekin muje agar jada grevy chahiye to kya kare.
thank you ☺☺",5
UgzKeX3OW3vaeBdb-6d4AaABAg,Maam Kya Ghe ke jagah batter use kar sakte he kya,7
Ugx0SmSs30kuWgrjgeB4AaABAg,How much time should I cook on stove if I’m making it with beef?,7
Ugw18NzfFJ6KQqSYWHR4AaABAg,U r the best chef on youtube mam.,4
UgwU6SxRUrNjkm3AC-14AaABAg,Mam aapne kitne chawal me kitna pani liya...pakane ke liye...kyuki jb bhi mai banati hu...tb chawal sahj se cook hote hi nhi...plzz mam ek baar sahi se bata dijiye,7
UgygNpsJ3VaSk0PX8qF4AaABAg,"Super recipe mam ....I tried it... It was awesome.... Thanks a lot... super you are
Keep going👍",5
UgwWhIZ9BQAP9Rq5tFt4AaABAg,Amazing  recipe best,2
Ugx8bHW7w5s2OfUmtgZ4AaABAg,mam chikn ke pis kacche nahi rahenge ?pls mere qustion ka aanswer dena pls,7
UgzLPkcePh4kkZZSCNt4AaABAg,"Hai dear.. I'm from Kerala.. Big fan of you and hyderabadi Biriyani.. I have a doubt.. 

I don't have non stick pan. In that case what type of vessel is to be used for the dum step",5
Ugx87IcuTz5dD06Ijap4AaABAg,Thank you,1
Ugy1tFmzBj-WSPSeFvp4AaABAg,I tried it ...it was very testy...😛😛😛,2
Ugx3n0zn3IPsY-HTSpp4AaABAg,Your cooking is so neat and clean,4
UgxlmUJL6tXfljUoqlJ4AaABAg,World best briyani. I have moved to Canada and I have craved for my moms Biryani and this tastes exactly like it. Thank you so much. ❤️❤️❤️ 100/100 MUST TRYYYYY IT,5
UgywLZjWX_Z8sCHDbOV4AaABAg,Hii maam..i have a question to ask..u have taken 600g of chicken for dis biryani and so d timing is as according..but what if we vary d amount of chicken..is d timing stil same or how vl we change d timing?pls help..,7
UgxOf3VXU815Wa250I54AaABAg,Bhauji agar mutton 1.5 kg aur chawal 1 kg ho to timing kya hoga...,7
UgyL4v5k27Bum0h0-nF4AaABAg,Itna aata zayaah krna dum dene k lye himaqat nahi ??,7
UgwckGs5E1lJRG2fnxB4AaABAg,Pahle Mai sochta tha doctor se hi Sadi karunga ...but iss video ko dekhne ke bad lagta hai hotel management best hogi mere liye ...your husband is really lucky ..I wish someday my wife coocked same for me ..,6
UgzhKdlf7bdUo3_Z2yF4AaABAg,I tried ....yummy ....thank u kabita mam.....,5
UgzkYFPmsKw_aZy67zp4AaABAg,It's a perfect recipe for Chicken Dum biriyani...I simply followed each step and my biriyani was awsum in first try..thanks for sharing and we'll describing during the video ...,5
UgzAF9KBU0zpaEeO-xJ4AaABAg,"Hello Kabita Ji
Good day
I am in Dubai and i had cooked today Biryani and its cooked so delicious.
Thank you so much 😊",5
Ugw-6Vtgz0bF6h7olC14AaABAg,I made exactly same.. And u knw what.?? It was insanely awesome.. D best ever than any restaurant.. Thank you very much Ms.Kabita..!!,5
Ugxumz5WJiY5havDXIF4AaABAg,Nice recipe,2
UgyMuWNiFDbo7g9DIWF4AaABAg,Kukar me ni bna skte???,7
UgxGVydEWAGzgko40Jx4AaABAg,Hyderabadi khachy ghost ki biryani,6
UgwOOlrU8xGDBh6i5TJ4AaABAg,"Hello mam,  I tried this biryani recipe today and it turns amazing 💕😍...  Thanks alot for such delicious biryani,,  India's No. 1 cooking Channel - #Kabita's Kitchen 🙏🙏",5
UgxIs_WdB2vHBzgD7Vh4AaABAg,"hi mam I have tried many receip such as upma pea nut chutney ,phoa,dosa,and now biryani all the recipe turned out so good that I was appreciated thank u so much  for your clear explaination of ur recipe god bless you and keep it up 😀👍👍👍👍👍",4
UgwXNr2HqviGEA-J8h54AaABAg,Madam ye rice kitne rs waale ha ?,7
UgzE1QTUegZI73Kvyp54AaABAg,Oh wow that was so simple yet delicious... Will try,2
Ugxx9Sp6dzS51ktURa54AaABAg,Bhai koy try mat karna me ne try kiya me ra pura chikan jalgaya,6
UgxnpcR2MWJ7uQVaHst4AaABAg,I will try it. You are doing great job👍,4
Ugx2f-ADa9G10OHLYZp4AaABAg,"Hi kabita,I tried the biriyani,it was tasty,but i had lot of water collected at the bottom of the vessel.How can i solve that",5
UgxQSBuj8hxXNJawzZp4AaABAg,MADAM CHICKEN ME DAHI DALNE SE CHICKEN KHATA TO NAHI HOTA HAI NA....,7
UgzERjtrsGW2mgGz68p4AaABAg,Madam simple wale chawal m bna skte hai kya,7
UgzqMqJEeN1KSLiG0fJ4AaABAg,"Madam chiken kaun sa legne leg piece wala ki 
  Jo dukan pr kaat kr dete hai",7
UgwL01Jf7BSAWWksX794AaABAg,"madam,shahi biryani masala kaisey banaye,?? ya phir a bahar karidley..",7
UgzsU9qbl63moloUNxt4AaABAg,"
The measurements are pretty accurate with simple step-by-step explanation. Best wishes from Malaysia ♥️🙏🏽",4
UgwIEnhz9y88wCtAdpF4AaABAg,Agar 1kg chaval  lege to kitna Dahi lena hai plz pty,7
UgzoWqMN2BY8W3v98CF4AaABAg,Sahi me use aap but jyda mere hai,6
Ugy2mr0o5wU6O0Y2p8l4AaABAg,Nice kabitaji for a easy information,4
UgxuQXYk-CKIIbx_oa14AaABAg,HE RAAM CHICKEN B.J.P WALO SE BACH KE RAHIYO MULAA GHOSIT KAR DENGE. SORRY JOKES😊😛,6
UgwvltxCX9RUiKyrYZZ4AaABAg,"Your way of cooking is very good .......your all recipes are fantastic .....I will try this biryani on saunday .....& please upload the recipe of chicken momos ...
Love u so much kabita dii",4
UgzVpOmbbd2i3JwZTid4AaABAg,"So nice    
Awesome!!!!",3
Ugwa9FEkK_voG2cFx6l4AaABAg,"Atta k Dough me crack aa ja rha he aur pressure release ho ja rhe he, any solution?",7
Ugy-tIULPX0Dug9rslZ4AaABAg,"Kabita mam, you are the only reason i learned cooking. 
Not only that i made cooking as my hobby, being a bachelor my roommates always wait for me to come from office and make something for them. 
All the credit goes to you mam, you are really awesome.😊",4
UgxTrkXYtjNfXtP2k7N4AaABAg,"Hello mam,
I tried this recipe today and it was awesome👌
I have never tasted such biryani in any other restaurant earlier",2
UgwQXamr8GBl1gQKmht4AaABAg,So nice 😋😋😋,3
UgyK-ZCfpwZNUAEq33J4AaABAg,U r a magician....jus love your every recipe....,4
UgyRaR7kl6aZWXLQFu94AaABAg,yummy recipe very nice i tried it .it was very tasty,2
Ugyfc4rmb_Q0pjxU3EF4AaABAg,Or Bht Achchi Bani Thi  Chicken Dum Biryani Thanku So Much Kabita Di 😘😘😘,5
UgzX5gEILRWw-4PAPDV4AaABAg,Am sorry...can u please the cooking time once again.. how many minutes ?,7
UgwAcU46JED4peWBjht4AaABAg,"Mam aapki recipe bahut achha laga aur aapka bathane ka tarika bhi bahuti achha hai. Mam mera ek sawal hai Aapne usko seal karke banaya hai agar mai iss beiyani ko pressure cooker me banane se kaisa rahega, pl mam aap bathayenge.",5
Ugye3cSpt9PV_-q6JPB4AaABAg,This is going to my first cook ever in my life...,6
UgwP40d0SmMeswmTo3t4AaABAg,Delicious kabita mam u are really great..... ,4
UgxhNhus-S_BB6IJUnJ4AaABAg,nice recipe,2
UgwhJq58FzVXpTdqi2F4AaABAg,apne to aata bataya hi nahi,6
Ugyg1I480mgM7L9RUjR4AaABAg,What is low medium flame either it wud b low or medium?,7
UgwrIK0WNxvyO3bWtZB4AaABAg,It’s delicious but very time consuming 🙁🙁🙁🙁🙁🙁🙁,2
Ugwe0r0WkTjEgq3eGTh4AaABAg,I never cooked biryani but looking at this video i have to try this looks ever so nice,6
UgwbvQ7T5MulP8I77NJ4AaABAg,Just perfect recipe mam..  Thanks a lot... Keep up the good work...,5
Ugzu9tv4UFpAQj9FfWB4AaABAg,Trying today... hope it comes gud,6
UgyTqo3dZZeGpMljygB4AaABAg,Oil to bilkul daala hi nahi aap ne,6
UgytqjPrmkfs9dCVz514AaABAg,How many people will it serve???. Want to try it tomorrow,7
UgxN7Hb38YkjRIK2nwB4AaABAg,Bahut hi achhi recipe hai...  Mujhe bahut pasand hai...  Hmesa market me hi khane jana padta tha...  Lekin ab ye problem bhi door ho gyi....  Thanks mam...,5
UgxFuiRVwIYmbefzMDZ4AaABAg,Very nice cooking style,4
UgxM3RstVoP8FOs_K1p4AaABAg,This biryani is just awesome I had made in my home... The major problem we face while making in biryani was that the bottom use to get burned but the way u said nothing got burned.... And one more thing if we add 2table spoon of oil while marinating the chicken it will even give more taste,5
UgxOLSSDrwDdm6OBGL14AaABAg,"You are a wonderful chef and instructor..
Keep up the good work...",4
UgxihAZMbNGD62J932J4AaABAg,"U added no cooking oil, wil it work??",7
UgxmYBVzONcMKMcGKWF4AaABAg,Pls learn Telugu,6
UgzTNVniR94-KKzUDWt4AaABAg,Jab ghee dalte hai to uska taste ya smell aata hai kya kyu ki mujhe ghee kewal roti k saath hi aacha lagta hai,7
UgwcZQTahINfL0k-hWl4AaABAg,Biryani pan ki jgah cookar me bna skte h kya,7
UgybzHmBpgK7DgGrEHF4AaABAg,what if I don't want dum biriyani but I want normal one shouldn't I seal the edges of the pan....  answer me please,7
Ugx3RVN1vkztl0vvXTJ4AaABAg,Tq sister...... It was amazing...... All of you try it....... Superb sister......,5
UgyCx-DC3ZAimQnonlJ4AaABAg,If we make 2kg of chicken biryani then what are the timing?,7
UgwU_lQ3hMzQfe9NRZd4AaABAg,Hi✋🌷and thank u,1
Ugz5TGYqjxk3xVh0N594AaABAg,Super your recipes are amazing 👍,4
UgxtFBV_kcoB5ONEDtx4AaABAg,Hello mam plzz i want a recipe of biryani masala powder plzzz,6
UgyGVIHxuhKvDGtkYgp4AaABAg,Thanks,1
UgxSOh4NorqX01hj3Ip4AaABAg,Very nice recipe,2
UgwECwmNRwSr0F67U0x4AaABAg,2 good Mam very nice recipe,2
UgwEGHqjtC4cAGv-FtF4AaABAg,Today I tried this recipe it was Awesome....My husband loved it....Thanks alot for making my day...,5
UgxXRTmRMl6nrY78sBF4AaABAg,Timing explain kijiye plzzzzz,7
UgzHLXccYTmovrrWCht4AaABAg,Biryani ka timing nhi samjha,6
UgyPaIFSCnOjTmsiqxV4AaABAg,Ma'am kitina bhi jayada biriyani ho..timeing same rahega na? Plz reply maam,7
UgyypJbSLUz7atTRGv54AaABAg,Agar tawa nahi hai to direct heat kar sakte hai,7
UgyTGVdjqxf410dLT5t4AaABAg,"hii mam,mera biryani bht acha bna 
bt chckn hlka sa lg jata h 
aisa q hota h",7
Ugxtrqy9wizF4cDynRd4AaABAg,Bahot best,3
UgwscQQAvurD1dy3XeR4AaABAg,Thanx mam .ur biryani is just superb.my family loves it very much.,5
UgwO_4bm78ZMue2ZiVd4AaABAg,Pudina patta na ho to kadi ptta use kr sakte h,7
UgwZN9q5N2yD1EDPQQ54AaABAg,man dahi ko replace karke kuch aur nhi daal sakte,7
UgyacNzLktRBFEPYNIZ4AaABAg,Awesome recipe thank you very much,5
UgwxExrwXlPhKc1tm5h4AaABAg,"Love the content, keep up the good work :)",4
UgxSENWdRzGYm0TDtuZ4AaABAg,Hi mam 25 people ke liye kitna amount Rice and Chicken use krna chahiye plzzzzz reply me mam,7
UgyXMFs5KoWETIy0Tyd4AaABAg,"ye. meri 3, rd tym h..me aapki recipe follow karti hnu
...ye toh restaurant ki biriyani se v bahat bahat bahat acha h...juzz lv it..Well done..mam",4
Ugwt1rRPxZGE7UIKi_94AaABAg,"Seeing other people's positive comments definitely makes me want to try this recipe!! I'm giving it a go this weekend, thanks for sharing your recipe 😊",1
UgwX22DL-PE0HSGPLTR4AaABAg,Mam you are the nest chef 👏👏👏,4
UgwqxpI-7c0eD0D-RJB4AaABAg,Kesar na ho to madam,7
UgyQ_a8XsWmUlJm93tJ4AaABAg,Ma'am please app fried chicken biriyani  recipe ki video baaniye,6
UgzifijCQ2VdWrUaTSh4AaABAg,Please never forget to write ingredients in the description below.,6
Ugws-l_nCTabnTAFsUB4AaABAg,You had explained it so well that even the cook at my house can make biryani so well...it's soooo yumm yumm...one of the best biryanis I have ever tasted..we should thank you for such a good recipe..and because of you we can have biryani at home now,5
UgwqH_QnEE6Su9uWQ6R4AaABAg,itne der tak biryani banane se accha bahar se hi order kar lo...,6
Ugy5zJhvHEX-9aAu5kN4AaABAg,Kitchen king acha sabji poudar masala bataiye na,7
UgwjcKvYvQVOejN6gdF4AaABAg,Very nice biryani,2
UgxMUzjR2KshubmqFTl4AaABAg,Maam you are one of the nicest youtubers of the country.Keep the good work going on.,4
UgyFl8-yKAE2pHuATMx4AaABAg,Chicken me masala lagakar fridge me kitna Samai tak rakh  sakhte hai?,7
Ugx3DwVc3SKviETeFNR4AaABAg,agar thora masale dar chaye to kya kre,7
UgzmHApgCjE7cCNKH2B4AaABAg,U are great mam �...�so cute 👑👑👑👑,4
Ugw2CYt1I7Nul7V_-kN4AaABAg,I'm from India but living in Germany Ur recipe has been a life saver for me😍thankyu,5
UgwOK6pKHXaLIu05DgJ4AaABAg,You only marinated the chicken did not cook before putting rice,6
Ugz4Bfp48A4RaYR1GJF4AaABAg,Hi Kavita...I tired ur recipe...it was delicious...but only one problem was there...the rice was dry....can you please suggest how to make rice soft....thanks.,5
UgzTWm0Vbyt1V7No3bZ4AaABAg,Mam mujhe nai khana bana ke itna lamba proses kuch chhota or aasan sa btaiye plzz,6
Ugxf4NL6ykzYb7Ovd0N4AaABAg,We can skip curd mam,7
UgzIoRyyH9WN1ENZlSx4AaABAg,Which brand of Basmati do you recommend for this recipe? Do you recommend parboiled Basmati (sela/seila) over regular basmati?,7
UgyNo1q9ri9iDXmpCGN4AaABAg,"Pudina ko skip nhi kar skte kya
..qki ye local market me available nhi hote",7
UgyLZfhhDJaNh4RRH1p4AaABAg,25000 calories in one go,6
Ugzw0VsC82geoZv513t4AaABAg,Mam agar aloo bokhare dalne ho tho wo chicken ke andar daal dene h jo marinate karte howe? Our kya chicken ko pehle cook nei kar sakte? Ese darr lagta h ke chicken pakke naa yaa jal na jae.. Please reply,7
UgwgejSyykRa5jlY_mp4AaABAg,Mam chiken ko ache s saaf to krlijiye gnda h jb chiken itna gnda h to biryani ka test kaise acha ho akta. Plz agli recipie m chiken ko ache s saaf kriyega safai pr dhiyan  de,6
UgyCg9ZH1q0nPwlEMzd4AaABAg,I tried this recipe today..chicken was cooked beautifully as well as rice but my masala got burned n stuck on the bottom...was it due to little steam which was passing during dum ? My dough has two leakage spot,7
UgwCxv5K5KwLumeJ13l4AaABAg,very nice recipe I will try😋😋😋😋😋,2
Ugy12-EJC6aekVqulHt4AaABAg,"Hi Kabita, I tried this biryani at home and taste was good. I used flour to seal the pot but seal got leaked in middle and biryani got burns in bottom. Any idea how to properly seal the pot?",7
UgyzSxBefDh4Bt0fPfV4AaABAg,"Hi Dear, 
I made this Biryani yesterday same as per your instructions but my lower chicken got burned and it ruined the whole dish🙁",6
Ugxb5wrV8X5q9z5IEX94AaABAg,5 kg chicken biryani ...how much time required for cook the chicken ......can say that... PLEASE,7
Ugx3LJ_wqFCkaAlUm0p4AaABAg,Thick pot ki jagah par kya use kar sakte h,7
Ugxy3MxRWauVL_Wb9oJ4AaABAg,The meat looked uncooked,6
UgyQbijd1qYPO2_dphJ4AaABAg,How to make shahi biryani masala,7
UgxE4xWqOqZQqA8kv2V4AaABAg,kabita ji apki recipe bohot simple hai  ....ap jeshe bol kar karte hai bhot acha hai  �,4
UgzYchr-HKsH4Vl4lLl4AaABAg,Mam oil kab dalna hai,7
UgydmC7jqs9PIrXtJdt4AaABAg,it's taking more time,6
Ugzsh4zonx3tns2Kseh4AaABAg,Will try it sure!! Thank you!!😊,1
Ugwbj34hMupTMO1PmF14AaABAg,Superb mam....👍👍,3
UgwGT55NuPN-4aEVZ4l4AaABAg,This is too much spiciy,2
UgyYhmoXUhGzrQx1sa14AaABAg,I have also tried this recipe multiple times. Really yummy recipe....if anyone is a beginner u can check her cooker biryani recipe...its easy quick and delicious,2
UgyN0OJWyaoQIrdAYtd4AaABAg,chicken pak jaayega aise,7
UgyR2rnTheWSYlmBCVl4AaABAg,Maam Kia hum chicken ki do layr laga skate hai,7
Ugz94TGtcKNJqVVAJud4AaABAg,Isse achchi to meri mumma bnati  h,6
UgyBQ2cniyJkAKbBuuh4AaABAg,aap master chef ho,4
Ugy3JUYBb0IRsgr8bcx4AaABAg,Oh! Wow!,3
UgwpqMqltOotNpQRzk94AaABAg,Ye kachi dum biriyani he,6
UgxbDWQYuM06hvFQVWp4AaABAg,"I tried it n it's really soo yummy mam
Thanks a lot for uploading this delicious receip",5
UgypmYFSfBOTzbMH1V14AaABAg,galti sy 20 mint low ker.dia ab kia.keron?,7
Ugx-BE81JFtFqRshChx4AaABAg,were is your chicken,6
UgzhUtgyU_nShxmD9sZ4AaABAg,Love you,6
UgytIrrzokqlSJjK7f94AaABAg,Superb,3
UgzR68cNNQQDzQO66Mh4AaABAg,nice,3
Ugzj53Wa_bu0gvjnX7x4AaABAg,Hello mam super👌👌👌,3
UgzgBW_G0miHi0kIqkl4AaABAg,Maam ye Jo Apne banaya hai vo kitne lg ke liye hai? And tamatar nai use krna hota hai?,7
Ugz2WywqawVpeppA9IF4AaABAg,"Kabitaji maine aapki recipe last year banayi thi,bahut mast bani thi, bacchonko ab tak yaad hai.Ab savan ka mahina chalu hone se pahale banani hai isliye vapas aapki ye haidrabadi biryani ki video  dekh rahi hoon. 😊😘 Thanks kabitaji, aapka recipe bataneka tarika itna acchha hai ki sab aasan ho jata hai.",5
UgxVH52F1hkOtFYZZhJ4AaABAg,mam apne to oil nehi dala chicken marinate me.....,6
UgwZqwz_tjUaVvmIA194AaABAg,Today for the first time I prepared biryani.... Turned out really well..... Thanks.,1
Ugyl4LCe2rZMRKzkOnZ4AaABAg,I like your recipe this recipe very useful,2
UgwHlnRqmU98eQhS3JZ4AaABAg,Steam toh nikla hi nehi end mein. Iski CBI jaanch honi chahiye.,6
UgwTpAH0Vak09Wo-PWx4AaABAg,pehle khood sikho phir sab  ko sikha o.,6
UgxExqIgsHRHLhmqxSF4AaABAg,I love this recipe of chicken dam biryani kabita mam....its really awesome mashaa Allah....i will deffinately try this recipe...but whenever i made biryani at home every time i got confused about rice quantity and my biryani looks like lott of masala insiden with less rice....please give me any tip to correct my rice quantity....,7
Ugyvf-1pxKYLA02P_K54AaABAg,lovely way to explain... nice and fast... i tried excellent,4
UgwJ_jsGKCZrFW2COSt4AaABAg,Mam chicken rubber jaisa cook hota hai mere se? How can I make soft chicken,7
UgzFy6UqJMjaC_OkKnV4AaABAg,I tried this rspy it was really nice.. now i can cook biryani thnqq.. keep sharing ur rspy .. 🙂,1
Ugzx2KxEbTIwuwWkLVB4AaABAg,Agar Shahi biryani masala Na ho to ..kya kru,7
UgzsAlQJyW5jHZu8K2x4AaABAg,Very yummy Mam ham is me tomato Dal sakte H,5
Ugzz-YyWNaBOHAPUs8t4AaABAg,yummy,2
Ugyd2hgkeRbihnzmrPB4AaABAg,Thank you for sharing i cant wait to make this,1
UgzIbfoSnPZmYfb--K14AaABAg,Rice ko kitne time ubale,7
Ugw4HSScxCFolwhncTl4AaABAg,Very easy and tasty recipe. Thank you,5
UgynnulAvpTNiB9lh2N4AaABAg,Agar refrigerator naho to,7
Ugy0bKQGiz9JC6qOgfh4AaABAg,Thank you for sharing this recipie,1
UgxMzeqlRALKf-_tQWd4AaABAg,SuperBBB,3
UgxWcsLVDClFHyc2IFR4AaABAg,Mam ayse pakane se kiya chiken acchi tarha pak jayga,7
UgyHAsU5bVkLrOPTWHd4AaABAg,Curd mix karne pe chicken agar jyda khatta ho gya to,7
UgwOX_FQb_OXQfV872x4AaABAg,I'm from france and your video are very helpful..thank you so much for your lovely food,5
UgyyM9oE1gs1jLSeIiB4AaABAg,I love you darling,6
UgwGBNQHqywWCMbtpIh4AaABAg,nice taste,2
UgxrMnj9GVbciW7EQEh4AaABAg,Mam mein Jb v bante hu ye jal jata h ..aap kuch Tips doo taki n jale,7
UgywadTG94Qn2rRfAt54AaABAg,Wonderful,3
UgzfSHdWDHyQsLcjrPl4AaABAg,Hey dear Kabita thank u for making it soooooo easy... and it tastes like tandoor biryani... I m yours big fan love u a lot..,5
UgwVLso1gdBseXh32MZ4AaABAg,u r super sister,4
