StudentID,Gender,Parent_income,IQ,Encourage,Plan
5062,male,46750,104,encourage,plan
5064,female,19100,90,not encourage,not plan
5067,female,51920,61,encourage,plan
5068,female,39330,92,encourage,not plan
5069,female,12500,100,not encourage,not plan
5071,female,39780,106,encourage,not plan
5075,male,38070,94,encourage,not plan
5080,male,47190,96,encourage,plan
5081,female,35200,110,not encourage,plan
5083,female,9900,101,not encourage,not plan
5084,female,46700,92,not encourage,not plan
5085,male,56430,118,encourage,plan
5088,female,61470,93,encourage,not plan
5089,male,7900,86,not encourage,not plan
5091,male,31680,112,encourage,not plan
5094,male,36270,105,encourage,not plan
5095,female,32400,79,not encourage,not plan
5096,female,69400,84,not encourage,not plan
5100,female,18700,77,not encourage,not plan
5102,female,38970,100,encourage,not plan
5103,male,21960,139,encourage,not plan
5105,male,45700,138,not encourage,not plan
5107,female,25700,61,not encourage,not plan
5109,female,33200,76,not encourage,not plan
5110,female,50940,106,encourage,not plan
5113,male,43110,139,encourage,not plan
5114,male,20600,86,not encourage,not plan
5116,male,14490,64,encourage,not plan
5119,male,40300,91,not encourage,plan
5122,male,68300,136,not encourage,not plan
5123,female,27300,90,not encourage,not plan
5124,female,30700,101,not encourage,not plan
5126,male,48870,93,encourage,not plan
5129,male,57640,117,encourage,plan
5130,male,29700,105,not encourage,not plan
5131,female,58000,140,not encourage,not plan
5132,male,29250,112,encourage,not plan
5133,female,29100,86,not encourage,not plan
5136,male,12400,89,not encourage,not plan
5137,male,65560,108,encourage,plan
5142,female,34700,96,not encourage,not plan
5143,female,31500,134,not encourage,not plan
5144,male,26300,90,not encourage,not plan
5145,female,56870,109,encourage,plan
5146,female,66060,109,encourage,not plan
5148,female,66220,126,encourage,plan
5153,male,27000,95,not encourage,not plan
5158,female,76230,126,encourage,plan
5159,female,31500,140,encourage,not plan
5160,female,79860,109,encourage,plan
5162,female,33660,61,encourage,not plan
5165,female,59950,103,encourage,plan
5168,male,78540,103,encourage,plan
5170,female,21900,85,not encourage,not plan
5173,male,35300,60,not encourage,not plan
5175,male,32850,67,encourage,not plan
5177,male,64260,95,encourage,not plan
5179,male,73480,97,encourage,plan
5181,male,51370,92,encourage,plan
5185,male,42570,92,encourage,not plan
5187,female,30240,109,encourage,not plan
5188,male,18000,99,encourage,not plan
5190,male,72160,109,encourage,plan
5191,female,48200,70,not encourage,not plan
5196,female,20600,83,not encourage,not plan
5197,male,37950,106,encourage,plan
5198,male,40810,112,encourage,plan
5199,male,38790,87,encourage,not plan
5205,female,63540,100,encourage,not plan
5206,male,56700,90,encourage,not plan
5207,male,33700,61,not encourage,not plan
5209,male,41490,73,encourage,not plan
5211,female,38720,108,encourage,plan
5213,male,26700,99,not encourage,not plan
5214,male,33550,104,encourage,plan
5217,female,43900,83,not encourage,not plan
5219,male,32500,88,not encourage,not plan
5221,female,51700,103,encourage,plan
5226,female,44200,81,not encourage,not plan
5227,male,41500,106,not encourage,not plan
5228,male,49590,109,encourage,not plan
5230,female,63800,116,encourage,plan
5231,male,56520,92,encourage,not plan
5232,female,41500,76,not encourage,not plan
5233,female,11200,99,not encourage,not plan
5237,male,33880,118,encourage,plan
5240,female,40100,79,not encourage,not plan
5241,male,63250,114,encourage,plan
5242,female,37400,100,not encourage,not plan
5247,male,76560,102,encourage,plan
5248,female,8700,61,not encourage,not plan
5249,male,35100,98,encourage,not plan
5250,male,72100,116,not encourage,not plan
5252,female,23200,134,not encourage,plan
5253,female,35300,66,not encourage,not plan
5254,female,20500,100,not encourage,not plan
5255,female,14700,87,not encourage,not plan
5256,female,28000,105,not encourage,not plan
5257,male,29430,115,encourage,not plan
5259,male,38940,129,encourage,plan
5260,male,53370,75,encourage,not plan
5261,female,51390,86,encourage,not plan
5262,male,22900,61,not encourage,not plan
5265,male,46900,73,not encourage,not plan
5266,male,27400,115,not encourage,not plan
5267,female,21600,69,encourage,not plan
5268,male,32500,90,not encourage,not plan
5269,female,79200,139,encourage,plan
5273,female,82060,111,encourage,plan
5278,female,38340,78,encourage,not plan
5280,male,43650,117,encourage,not plan
5281,female,68800,118,not encourage,not plan
5284,male,32130,125,encourage,not plan
5285,male,37300,77,not encourage,not plan
5289,female,36100,64,not encourage,not plan
5292,male,70400,119,encourage,plan
5295,female,47300,122,encourage,plan
5296,male,69740,123,encourage,plan
5297,female,40100,103,not encourage,not plan
5298,female,49300,93,not encourage,not plan
5299,male,53460,92,encourage,plan
5300,male,49720,124,encourage,plan
5301,female,35400,63,not encourage,not plan
5302,male,18300,102,not encourage,not plan
5304,female,51100,63,not encourage,not plan
5305,female,60000,97,not encourage,not plan
5311,male,66440,125,encourage,plan
5312,male,42100,79,not encourage,not plan
5313,female,36450,121,encourage,not plan
5314,male,57640,122,encourage,plan
5316,male,23100,79,not encourage,not plan
5318,male,42390,105,encourage,not plan
5321,female,49300,97,not encourage,not plan
5322,male,61600,116,encourage,plan
5324,female,58190,128,encourage,plan
5330,male,34500,78,not encourage,not plan
5331,male,32850,133,encourage,not plan
5332,female,32400,99,not encourage,not plan
5335,female,55500,89,not encourage,not plan
5336,male,29600,77,not encourage,not plan
5341,male,50050,125,encourage,plan
5343,male,15900,63,not encourage,not plan
5344,female,59100,79,not encourage,plan
5345,male,54230,134,encourage,plan
5349,male,42700,100,not encourage,not plan
5353,male,31800,92,not encourage,not plan
5356,male,50930,102,encourage,plan
5357,female,46530,130,encourage,plan
5358,male,9200,86,not encourage,not plan
5360,female,43700,98,not encourage,not plan
5361,male,36500,133,not encourage,not plan
5362,female,34920,108,encourage,not plan
5363,female,39060,98,encourage,not plan
5364,male,32400,86,not encourage,not plan
5365,male,44370,100,encourage,not plan
5366,male,29610,92,encourage,not plan
5370,male,18500,99,not encourage,not plan
5372,male,30510,84,encourage,not plan
5376,female,6030,69,encourage,not plan
5378,female,63540,112,encourage,not plan
5379,female,46400,97,not encourage,not plan
5380,male,76010,128,encourage,plan
5383,male,24750,92,encourage,not plan
5384,female,9300,110,not encourage,not plan
5387,male,24480,93,encourage,not plan
5390,female,66990,90,encourage,plan
5393,male,13590,93,encourage,not plan
5394,female,47100,72,not encourage,not plan
5395,male,53790,107,encourage,plan
5396,male,38600,107,not encourage,not plan
5403,female,67900,103,not encourage,not plan
5404,male,74910,112,encourage,plan
5405,female,29340,98,encourage,not plan
5408,female,11520,98,encourage,not plan
5410,male,34920,96,encourage,not plan
5411,female,13900,79,not encourage,not plan
5412,female,54700,104,not encourage,plan
5413,female,32300,95,not encourage,not plan
5414,female,40920,98,encourage,plan
5415,female,47300,90,not encourage,not plan
5417,male,56870,107,encourage,plan
5418,male,42800,91,not encourage,not plan
5419,male,7200,104,not encourage,plan
5420,male,42350,96,encourage,plan
5424,male,43650,91,encourage,not plan
5428,male,15210,76,encourage,not plan
5429,male,17640,93,encourage,not plan
5431,female,37100,115,not encourage,not plan
5433,male,49400,108,not encourage,not plan
5437,male,15750,92,encourage,not plan
5438,male,58500,79,encourage,not plan
5439,female,31600,66,not encourage,not plan
5440,female,34200,97,not encourage,not plan
5442,female,35100,82,not encourage,not plan
5443,female,15300,76,not encourage,not plan
5445,female,45600,103,not encourage,not plan
5452,male,19300,130,not encourage,not plan
5455,female,48400,111,encourage,plan
5456,female,33500,106,not encourage,not plan
5458,male,45210,101,encourage,plan
5459,male,27700,96,not encourage,not plan
5460,female,15500,134,not encourage,not plan
5461,male,31570,115,encourage,plan
5462,male,80520,96,encourage,plan
5465,male,54670,108,encourage,plan
5467,male,9200,87,not encourage,not plan
5468,female,9810,126,encourage,not plan
5469,female,46440,131,encourage,not plan
5470,male,23400,69,not encourage,not plan
5471,male,36500,86,not encourage,not plan
5475,female,34800,69,not encourage,not plan
5478,female,43100,116,not encourage,not plan
5479,female,47400,98,not encourage,not plan
5480,male,20300,73,not encourage,not plan
5481,male,18270,96,encourage,not plan
5483,female,74140,109,encourage,plan
5484,male,9200,82,not encourage,not plan
5486,female,26300,90,not encourage,not plan
5488,female,40950,96,encourage,not plan
5490,male,39900,97,not encourage,not plan
5492,male,65070,103,encourage,not plan
5494,female,25700,85,not encourage,not plan
5495,female,50400,98,not encourage,not plan
5496,female,30500,106,not encourage,not plan
5498,female,52800,107,encourage,plan
5502,male,59310,94,encourage,not plan
5504,male,60830,110,encourage,plan
5511,male,42020,135,encourage,plan
5514,female,61200,122,encourage,not plan
5515,female,33200,119,not encourage,not plan
5516,female,32400,100,encourage,not plan
5519,female,65230,115,encourage,plan
5520,male,53130,102,encourage,plan
5522,female,55000,65,encourage,plan
5523,female,44900,84,not encourage,plan
5524,male,80410,112,encourage,plan
5527,male,14300,87,not encourage,not plan
5528,female,35280,130,encourage,not plan
5530,female,45700,64,not encourage,not plan
5531,female,24100,79,not encourage,not plan
5533,female,57200,96,not encourage,not plan
5534,male,48620,119,encourage,plan
5536,male,33770,140,encourage,plan
5537,male,41300,90,not encourage,not plan
5539,male,57510,63,encourage,not plan
5541,female,33400,97,not encourage,not plan
252,male,14310,83,encourage,not plan
254,female,15100,95,not encourage,not plan
256,female,32310,108,encourage,not plan
257,male,34200,73,encourage,not plan
258,male,40920,98,encourage,plan
262,male,77770,100,encourage,plan
263,male,38600,105,not encourage,not plan
265,female,42240,109,encourage,plan
266,male,49590,120,encourage,not plan
268,female,48870,98,encourage,not plan
269,female,35190,83,encourage,not plan
270,female,47740,91,encourage,plan
271,male,46310,131,encourage,plan
272,male,40040,106,encourage,plan
273,female,38300,127,not encourage,not plan
274,female,72820,129,encourage,plan
275,female,32500,63,not encourage,not plan
276,female,50300,136,not encourage,plan
277,female,24700,90,not encourage,not plan
278,female,27300,65,not encourage,not plan
279,female,30700,100,not encourage,not plan
280,female,55110,99,encourage,plan
290,female,37500,60,not encourage,not plan
292,female,5300,96,not encourage,not plan
293,female,36600,93,not encourage,not plan
294,female,65200,96,not encourage,not plan
295,female,45320,119,encourage,plan
296,female,16380,110,encourage,not plan
297,male,48800,100,not encourage,not plan
299,female,7400,109,not encourage,not plan
301,male,19200,92,not encourage,not plan
302,female,48500,94,not encourage,not plan
303,female,13800,61,not encourage,not plan
304,female,36740,102,encourage,plan
305,female,30300,86,not encourage,plan
306,female,42130,92,encourage,plan
310,female,45200,105,not encourage,plan
311,male,45320,103,encourage,plan
314,male,45760,112,encourage,plan
315,male,73590,120,encourage,plan
318,male,31400,99,not encourage,not plan
321,male,36100,70,not encourage,not plan
322,male,47200,82,not encourage,not plan
324,female,63910,105,encourage,plan
326,female,36700,96,not encourage,not plan
327,female,19710,109,encourage,not plan
330,male,44990,103,encourage,plan
331,male,58600,101,not encourage,not plan
333,female,37180,90,encourage,plan
336,male,40590,107,encourage,not plan
337,female,5130,104,encourage,not plan
338,male,38280,109,encourage,plan
339,male,41670,120,encourage,not plan
341,male,29900,62,not encourage,not plan
344,female,36800,110,not encourage,not plan
346,male,33770,127,encourage,plan
347,female,24800,71,not encourage,not plan
348,male,48200,110,not encourage,not plan
350,female,28170,128,encourage,not plan
351,female,36400,97,not encourage,not plan
356,female,36800,80,not encourage,not plan
361,male,18400,79,not encourage,not plan
364,male,44300,109,not encourage,not plan
367,female,33600,68,not encourage,not plan
368,male,49940,133,encourage,plan
374,male,27830,104,encourage,plan
375,male,51260,102,encourage,plan
377,female,31500,105,not encourage,not plan
385,female,27270,99,encourage,not plan
387,female,63800,100,encourage,plan
388,male,44900,104,not encourage,not plan
389,female,22300,92,not encourage,not plan
393,male,35000,99,not encourage,not plan
394,female,74140,97,encourage,plan
396,male,65670,118,encourage,plan
399,female,20500,75,not encourage,not plan
401,male,47500,122,not encourage,not plan
402,female,72930,94,encourage,plan
5543,female,45810,90,encourage,not plan
5544,female,24600,100,not encourage,not plan
5547,male,46800,85,not encourage,not plan
5549,male,32300,114,not encourage,not plan
5550,female,15070,88,encourage,plan
5551,male,26370,95,encourage,not plan
5557,female,33900,103,not encourage,not plan
5559,male,31500,86,not encourage,not plan
5560,male,67430,107,encourage,plan
5561,male,48000,70,not encourage,not plan
5566,male,42300,103,not encourage,not plan
5567,male,59850,108,encourage,not plan
5571,male,11800,72,not encourage,not plan
5572,male,36200,62,not encourage,not plan
5574,male,53500,131,not encourage,not plan
5575,male,35900,62,not encourage,plan
5576,female,23700,77,not encourage,not plan
5577,male,25850,108,encourage,plan
5578,male,44440,77,encourage,plan
5581,female,30400,75,not encourage,not plan
5582,male,60940,101,encourage,plan
5586,male,34900,96,not encourage,not plan
5589,female,61020,88,encourage,not plan
5591,male,31000,83,not encourage,not plan
5592,female,39600,63,not encourage,not plan
5594,male,49800,92,not encourage,not plan
5597,male,38900,80,not encourage,not plan
5600,male,44220,66,encourage,plan
5607,female,19910,129,encourage,plan
5608,male,37890,109,encourage,not plan
5609,male,21000,71,not encourage,not plan
5612,male,13100,64,not encourage,not plan
5617,male,74140,119,encourage,plan
5620,female,5310,98,encourage,not plan
5623,female,58700,110,not encourage,not plan
5625,male,43200,113,encourage,not plan
5626,female,75020,106,encourage,plan
5627,male,34500,64,not encourage,not plan
5628,male,7400,60,not encourage,not plan
5629,male,47190,76,encourage,plan
5630,female,65430,101,encourage,not plan
5632,female,40200,98,not encourage,not plan
5633,female,41580,109,encourage,plan
5634,male,47600,93,not encourage,not plan
5635,male,38900,65,not encourage,not plan
5637,male,48300,75,not encourage,not plan
5638,female,27450,102,encourage,not plan
5640,male,33600,94,not encourage,not plan
5644,male,49000,98,not encourage,not plan
5646,female,30500,93,not encourage,not plan
5647,male,45090,91,encourage,not plan
5648,female,41400,124,encourage,not plan
5652,male,76230,119,encourage,plan
5654,female,57640,131,encourage,plan
5655,male,29500,91,not encourage,not plan
5659,female,36800,62,not encourage,not plan
5663,female,34500,69,not encourage,not plan
5664,female,47410,135,encourage,plan
5665,female,7000,65,not encourage,not plan
5667,female,42930,101,encourage,not plan
5669,female,25000,94,not encourage,not plan
5670,female,16600,77,not encourage,not plan
5673,male,67210,98,encourage,plan
5674,female,34300,90,not encourage,not plan
5676,female,44300,136,not encourage,not plan
5682,female,37500,105,not encourage,not plan
5685,female,34500,105,not encourage,not plan
5686,male,43600,101,not encourage,plan
5687,male,56200,65,not encourage,not plan
5689,male,51700,106,encourage,plan
5691,male,28800,110,not encourage,not plan
5692,male,32000,97,not encourage,not plan
5693,male,46750,127,encourage,plan
5694,male,52200,91,encourage,not plan
5695,female,37900,120,not encourage,not plan
5697,female,22400,86,not encourage,not plan
5701,female,40770,114,encourage,not plan
5707,male,37700,94,not encourage,not plan
5709,male,80850,117,encourage,plan
5710,male,38830,104,encourage,plan
5711,female,32000,91,not encourage,not plan
5712,male,62100,95,not encourage,not plan
5714,female,68530,106,encourage,plan
5715,female,24750,98,encourage,not plan
5716,male,45700,102,not encourage,not plan
5720,female,54180,119,encourage,not plan
5722,female,61800,135,not encourage,not plan
5723,male,44000,91,not encourage,not plan
5724,female,5500,120,not encourage,not plan
5731,male,57090,126,encourage,plan
5734,male,77880,108,encourage,plan
5737,female,28710,94,encourage,not plan
5738,male,36500,91,not encourage,not plan
5740,male,61300,92,not encourage,plan
5742,female,34870,132,encourage,plan
5746,female,44600,97,not encourage,not plan
5747,male,53910,95,encourage,not plan
5751,male,59670,115,encourage,not plan
5752,female,40480,126,encourage,plan
5756,male,43560,102,encourage,not plan
5757,female,61650,107,encourage,not plan
5758,female,23600,97,not encourage,not plan
5761,male,52800,101,encourage,plan
5762,female,46310,137,encourage,plan
5764,male,42020,104,encourage,plan
5766,female,16000,104,not encourage,not plan
5767,male,38700,94,encourage,not plan
5768,female,40230,118,encourage,not plan
5769,male,54800,92,not encourage,not plan
5771,female,49200,77,not encourage,not plan
5773,male,50820,128,encourage,plan
5776,male,28710,110,encourage,not plan
5778,male,38830,131,encourage,plan
5779,male,46200,72,not encourage,not plan
5780,female,57800,136,not encourage,not plan
5782,female,30400,80,not encourage,not plan
5789,male,68000,102,not encourage,not plan
5791,male,5200,63,not encourage,not plan
5795,male,65010,120,encourage,plan
5797,male,44440,101,encourage,plan
5798,male,45000,84,not encourage,not plan
5802,male,70620,122,encourage,plan
5804,male,9630,70,encourage,not plan
5805,female,77660,106,encourage,plan
5807,male,31140,108,encourage,not plan
5812,female,30500,90,not encourage,not plan
5813,female,48400,118,not encourage,not plan
5814,female,7800,94,not encourage,not plan
5817,male,34700,109,not encourage,not plan
5819,female,49800,70,not encourage,not plan
5820,male,41470,139,encourage,plan
5825,female,40480,110,encourage,plan
5827,male,64980,98,encourage,not plan
5832,female,48400,78,not encourage,not plan
5833,female,35800,102,not encourage,not plan
5834,male,43800,85,not encourage,not plan
5837,male,26600,97,not encourage,not plan
5839,female,62370,126,encourage,plan
5841,male,69200,73,not encourage,not plan
5842,male,53570,127,encourage,plan
5846,male,58500,110,encourage,not plan
5847,male,26100,98,not encourage,not plan
5848,female,48060,93,encourage,not plan
5850,male,35500,93,not encourage,not plan
5851,male,22680,125,encourage,not plan
5852,male,56000,66,not encourage,not plan
5853,male,47300,68,not encourage,not plan
5857,male,46170,66,encourage,not plan
5861,female,37800,123,encourage,not plan
5862,male,47190,106,encourage,plan
5864,female,35800,96,not encourage,not plan
5865,male,17200,94,not encourage,not plan
5866,male,45650,110,encourage,plan
5868,female,46900,93,not encourage,not plan
5869,female,56650,93,encourage,plan
5870,male,29160,105,encourage,not plan
5872,male,48400,76,not encourage,not plan
5873,female,6200,103,not encourage,not plan
5874,male,28530,111,encourage,not plan
5875,male,29070,101,encourage,not plan
5876,male,50050,114,encourage,plan
5877,male,32560,130,encourage,plan
5878,male,17100,126,encourage,not plan
5879,male,36600,78,not encourage,not plan
5882,female,35600,85,not encourage,not plan
5883,male,43740,70,encourage,not plan
5884,male,34600,103,not encourage,not plan
5888,female,60940,110,encourage,plan
5891,male,40500,78,not encourage,not plan
5892,female,73100,96,not encourage,not plan
5896,female,34800,110,not encourage,not plan
5897,female,13600,99,not encourage,not plan
5898,female,13500,97,not encourage,not plan
5900,male,13590,124,encourage,not plan
5902,female,75460,120,encourage,plan
5903,female,54780,96,encourage,plan
5905,male,42200,80,not encourage,not plan
5907,male,46750,107,encourage,plan
5908,male,25700,66,not encourage,not plan
5912,male,81070,109,encourage,plan
5914,female,26500,75,not encourage,not plan
5915,female,79970,95,encourage,plan
