comments,reply
bakwash,maafi yaar. Next time behtar koshish karenge
chiii mene try ki ghr pr  biryani ki naam ki insult h ye plzz guys koi try mt krna ghr pr,"Samajh gaya, shayad kuch gadbad ho gayi hogi. Aage se try nahi karenge, koi baat nahi."
I dont like this biriyani,I understand. We will make sure to improve it next time
Lolllll Yeh biryani Hai ya sabji Ese Todhi na Banti Hai pagal biryani,maafi yaar. Lagta hai kuch gadbad ho gayi. Agli baar behtar try karenge
badi mushkil h,kuch cheezein thodi mushkil hoti hain. Par hum try karenge aur behtar karenge.
thnxc for vidoes.....kavita mam,Youre welcome! Im glad you found the videos helpful
I hate it,I understand. Thank you for sharing your honest opinion
I don t like maggi,"Got it, noted. We ll keep that in mind for future reference"
Banne ke bad bahut lalach lag raha hai,"khane ke baad lalach toh hota hi hai. Par hosh mein raho, control karo"
Nice video,Thank you! Im glad you enjoyed the video
Your recipes are always good,Thank you for the compliment! I strive to create unique and delicious recipes
Mujhe video bahot acchalaga,maza aaya! Agli baar bhi dekhenge.
No one like u,Thank you for your feedback. I will strive to improve and hopefully win you over in the future.
Very tasty luv it,Im glad you enjoyed it! Your appreciation means a lot.
